,id,year,manufacturer,model,fuel,odometer,transmission
18456,7040137365,2019.0,19,3994,2,18841.0,0
18457,7040137284,2018.0,9,1469,2,26902.0,0
18458,7040137202,2018.0,7,2577,2,43447.0,0
18459,7040137100,2019.0,20,3542,2,40577.0,0
18460,7040136348,2018.0,13,4125,2,27257.0,0
18461,7040136256,2017.0,32,17,2,41559.0,0
18462,7040136142,2014.0,29,4088,2,63222.0,0
18463,7040136031,2016.0,39,3897,2,34636.0,0
18464,7040135471,2014.0,12,1764,2,31935.0,0
18465,7040115196,2015.0,15,2005,2,19956.0,1
18466,7040115064,2018.0,20,3523,2,12347.0,0
18467,7040114911,2017.0,20,3081,2,9877.0,1
18468,7040114779,2017.0,24,1386,2,19048.0,0
18469,7040113444,2008.0,4,224,2,86425.0,0
18470,7040113006,2011.0,4,220,2,84117.0,0
18471,7040112868,2009.0,4,4028,2,81583.0,0
18472,7040088655,2013.0,16,2160,2,86750.0,0
18473,7039916748,2000.0,19,2215,2,170000.0,0
18474,7039904784,2004.0,35,2796,2,210000.0,1
18475,7039877375,2015.0,32,17,2,60456.0,0
18476,7039871795,2010.0,12,1764,2,80436.0,0
18477,7039857656,2014.0,20,3503,2,27905.0,0
18478,7039856425,2014.0,20,3542,2,51581.0,0
18479,7039852428,2014.0,12,1764,2,71410.0,0
18480,7039852326,2017.0,15,3069,2,23419.0,0
18481,7039852226,2016.0,29,2989,2,35811.0,0
18482,7039852125,2014.0,16,1566,2,110772.0,1
18483,7039851094,2014.0,4,388,2,69698.0,0
18484,7039850842,2010.0,12,1764,2,84911.0,0
18485,7039845821,1983.0,25,912,2,89000.0,0
18486,7039842635,1995.0,12,1798,2,127000.0,0
18487,7039825189,2016.0,4,232,2,29865.0,0
18488,7039824888,2015.0,13,3285,2,55555.0,0
18489,7039820000,2008.0,32,1764,0,132922.0,0
18490,7039813575,2012.0,15,2008,2,19514.0,1
18491,7039813477,2017.0,24,1386,2,19048.0,0
18492,7039813350,2013.0,16,1567,2,126000.0,0
18493,7039796389,2017.0,4,434,3,19856.0,0
18494,7039796065,2014.0,32,17,2,87358.0,0
18495,7039794912,2006.0,4,406,2,191000.0,0
18496,7039793442,1993.0,37,2459,0,99164.34544628662,0
18497,7039792373,2003.0,8,3766,2,126700.0,0
18498,7039786048,2003.0,30,3942,2,275000.0,0
18499,7039773014,2013.0,10,360,2,10863.0,0
18500,7039751808,1979.0,19,1201,2,157000.0,1
18501,7039750411,2014.0,6,1362,2,101943.0,0
18502,7039750236,2014.0,20,3542,2,51581.0,0
18503,7039749351,2018.0,9,2206,2,50810.0,0
18504,7039749166,2016.0,9,1469,2,88614.0,0
18505,7039749017,2016.0,19,2215,2,40209.0,0
18506,7039748859,2017.0,15,3069,2,23419.0,0
18507,7039748690,2015.0,19,2215,2,35559.0,0
18508,7039748381,2015.0,13,3290,2,64904.0,0
18509,7039748286,2011.0,22,3120,2,52999.0,0
18510,7039748144,2005.0,29,2088,2,144762.0,0
18511,7039747954,2009.0,25,2555,2,99462.0,0
18512,7039731708,2006.0,35,894,2,99164.34544628662,1
18513,7039729718,2007.0,15,1357,2,146100.0,0
18514,7039729449,1998.0,9,2206,2,145000.0,0
18515,7039728900,2013.0,15,1357,2,115400.0,0
18516,7039727928,2003.0,15,1354,2,99600.0,0
18517,7039472387,2012.0,4,386,2,67503.0,0
18518,7039472199,2015.0,4,2568,2,19743.0,2
